date,gdp_growth
1998-01-01,0.9584890765088838
1998-04-01,0.7160711221208205
1998-07-01,0.5172267754806059
1998-10-01,0.6855302123168538
1999-01-01,0.6880607466943855
1999-04-01,0.6484384333661497
1999-07-01,1.4730260634528758
1999-10-01,1.4162885641977097
2000-01-01,0.9728004716721861
2000-04-01,1.10713496244208
2000-07-01,0.7753611480652678
2000-10-01,0.607820895685296
2001-01-01,0.51911404776952
2001-04-01,0.022734212989217184
2001-07-01,0.5775560677896641
2001-10-01,-0.4367483782595438
2002-01-01,0.5712580743944429
2002-04-01,0.469568039817414
2002-07-01,0.4174476590669274
2002-10-01,0.08784211961043731
2003-01-01,0.3024245696087169
2003-04-01,-0.44552471809222727
2003-07-01,1.0857648639290396
2003-10-01,0.34571111253711706
2004-01-01,1.0863349612461493
2004-04-01,0.43648841014882755
2004-07-01,0.35595397406338325
2004-10-01,0.8873069606105677
2005-01-01,0.3069619010107827
2005-04-01,0.21114855925770115
2005-07-01,0.7589978912735384
2005-10-01,0.693260411956298
2006-01-01,0.8796749125259407
2006-04-01,1.1959615221891262
2006-07-01,0.06856552239198344
2006-10-01,0.5531211296551319
2007-01-01,1.0436088232271823
2007-04-01,0.6480011056437363
2007-07-01,0.3181179344217133
2007-10-01,0.11290134810129082
2008-01-01,0.86831831763301
2008-04-01,-0.7561816378315545
2008-07-01,-0.2457677029362615
2008-10-01,-1.261256749777373
2009-01-01,-1.8732538308551039
2009-04-01,0.17113591050395005
2009-07-01,0.1595003768426695
2009-10-01,0.730591311035167
2010-01-01,0.32945512254618503
2010-04-01,0.45991273046204206
2010-07-01,0.6524915629736228
2010-10-01,0.6170148794526487
2011-01-01,1.309150293921113
2011-04-01,0.0057500611311933625
2011-07-01,0.3126832971898308
2011-10-01,0.3716872154269746
2012-01-01,-0.05291546681088777
2012-04-01,-0.40473000774163825
2012-07-01,0.3048936288940096
2012-10-01,-0.00730051394447484
2013-01-01,0.18371698643235845
2013-04-01,0.8775197955402492
2013-07-01,-0.23424772426028362
2013-10-01,0.6191248532635196
2014-01-01,-0.003713789589376848
2014-04-01,0.24311792874456284
2014-07-01,0.6429092338704923
2014-10-01,-0.2726416138003174
2015-01-01,0.5801296972010705
2015-04-01,0.06417791982913368
2015-07-01,0.2579152836089449
2015-10-01,0.24785031175573735
2016-01-01,0.3133200638854472
2016-04-01,-0.1816070080891019
2016-07-01,0.13488105711401133
2016-10-01,0.6321234338817039
2017-01-01,0.675525129950838
2017-04-01,0.762979549519871
2017-07-01,0.7095619251273
2017-10-01,0.603460119264998
2018-01-01,-0.03664677955941276
2018-04-01,0.25694980085841923
2018-07-01,0.48549438398683975
2018-10-01,0.7456606774111751
2019-01-01,0.9303031855008692
2019-04-01,0.5500742987554208
2019-07-01,-0.008534887414757275
2019-10-01,-0.49276358628329575
2020-01-01,-5.046785953838528
2020-04-01,-12.230885966627037
2020-07-01,15.354961075701246
2020-10-01,-0.10096262513192844
2021-01-01,0.41710020022069916
2021-04-01,1.2043614992579776
2021-07-01,2.9963975472615534
2021-10-01,0.5466437915884859
2022-01-01,-0.08444362199752087
2022-04-01,0.4191562845335506
2022-07-01,0.5493181649477652
2022-10-01,0.35816121338501095
2023-01-01,0.07559547741837758
2023-04-01,0.8873803997469176
2023-07-01,0.2339229836867185
2023-10-01,0.4220583165988945
2024-01-01,0.10893412086689924
2024-04-01,0.20934094438456174
2024-07-01,0.38050241944069807
2024-10-01,-0.028480060304314492
2025-01-01,0.12496721565324886
2025-04-01,0.3362705511166908
2025-07-01,0.5444898510279295
2025-10-01,0.21716507776883276
